,county_state
911,"Genesee County, New York"
912,"Geneva County, Alabama"
913,"Gentry County, Missouri"
914,"George County, Mississippi"
915,"Georgetown County, South Carolina"
916,"Gibson County, Indiana"
917,"Gibson County, Tennessee"
918,"Gila County, Arizona"
919,"Gilchrist County, Florida"
920,"Giles County, Tennessee"
921,"Giles County, Virginia"
922,"Gillespie County, Texas"
923,"Gilmer County, Georgia"
924,"Gilpin County, Colorado"
925,"Glacier County, Montana"
926,"Glades County, Florida"
927,"Gladwin County, Michigan"
928,"Glenn County, California"
929,"Gloucester County, New Jersey"
930,"Gloucester County, Virginia"
931,"Glynn County, Georgia"
932,"Gogebic County, Michigan"
933,"Goliad County, Texas"
934,"Gonzales County, Texas"
935,"Goochland County, Virginia"
936,"Goodhue County, Minnesota"
937,"Gooding County, Idaho"
938,"Gordon County, Georgia"
939,"Goshen County, Wyoming"
940,"Grady County, Georgia"
941,"Grady County, Oklahoma"
942,"Grafton County, New Hampshire"
943,"Graham County, Arizona"
944,"Graham County, North Carolina"
945,"Grainger County, Tennessee"
946,"Grand County, Colorado"
947,"Grand County, Utah"
948,"Grand Forks County, North Dakota"
949,"Grand Isle County, Vermont"
950,"Grand Traverse County, Michigan"
951,"Grant County, Arkansas"
952,"Grant County, Indiana"
953,"Grant County, Kansas"
954,"Grant County, Kentucky"
955,"Grant County, Louisiana"
956,"Grant County, Minnesota"
957,"Grant County, New Mexico"
958,"Grant County, Oregon"
959,"Grant County, South Dakota"
960,"Grant County, Washington"
961,"Grant County, West Virginia"
962,"Grant County, Wisconsin"
963,"Granville County, North Carolina"
964,"Gratiot County, Michigan"
965,"Graves County, Kentucky"
966,"Gray County, Texas"
967,"Grays Harbor County, Washington"
968,"Grayson County, Kentucky"
969,"Grayson County, Texas"
970,"Grayson County, Virginia"
971,"Green County, Kentucky"
972,"Green County, Wisconsin"
973,"Green Lake County, Wisconsin"
974,"Greenbrier County, West Virginia"
975,"Greene County, Alabama"
976,"Greene County, Arkansas"
977,"Greene County, Georgia"
978,"Greene County, Illinois"
979,"Greene County, Indiana"
980,"Greene County, Iowa"
981,"Greene County, Mississippi"
982,"Greene County, Missouri"
983,"Greene County, New York"
984,"Greene County, North Carolina"
985,"Greene County, Ohio"
986,"Greene County, Pennsylvania"
987,"Greene County, Tennessee"
988,"Greene County, Virginia"
989,"Greenlee County, Arizona"
990,"Greensville County, Virginia"
991,"Greenup County, Kentucky"
992,"Greenville County, South Carolina"
993,"Greenwood County, Kansas"
994,"Greenwood County, South Carolina"
995,"Greer County, Oklahoma"
996,"Gregg County, Texas"
997,"Grenada County, Mississippi"
998,"Grimes County, Texas"
999,"Grundy County, Illinois"
1000,"Grundy County, Iowa"
1001,"Grundy County, Missouri"
1002,"Grundy County, Tennessee"
1003,"Guadalupe County, New Mexico"
1004,"Guadalupe County, Texas"
1005,"Guernsey County, Ohio"
1006,"Guilford County, North Carolina"
1007,"Gulf County, Florida"
1008,"Gunnison County, Colorado"
1009,"Guthrie County, Iowa"
1010,"Gwinnett County, Georgia"
1011,"Habersham County, Georgia"
1012,"Hale County, Alabama"
1013,"Hale County, Texas"
1014,"Halifax County, North Carolina"
1015,"Halifax County, Virginia"
1016,"Hall County, Georgia"
1017,"Hall County, Nebraska"
1018,"Hall County, Texas"
1019,"Hamblen County, Tennessee"
1020,"Hamilton County, Florida"
1021,"Hamilton County, Illinois"
1022,"Hamilton County, Indiana"
1023,"Hamilton County, Iowa"
1024,"Hamilton County, Nebraska"
1025,"Hamilton County, Ohio"
1026,"Hamilton County, Tennessee"
1027,"Hamilton County, Texas"
1028,"Hamlin County, South Dakota"
1029,"Hampden County, Massachusetts"
1030,"Hampshire County, Massachusetts"
1031,"Hampshire County, West Virginia"
1032,"Hampton city, Virginia"
1033,"Hampton County, South Carolina"
1034,"Hancock County, Georgia"
1035,"Hancock County, Illinois"
1036,"Hancock County, Indiana"
1037,"Hancock County, Iowa"
1038,"Hancock County, Kentucky"
1039,"Hancock County, Maine"
1040,"Hancock County, Mississippi"
1041,"Hancock County, Ohio"
1042,"Hancock County, Tennessee"
1043,"Hancock County, West Virginia"
1044,"Hanover County, Virginia"
1045,"Haralson County, Georgia"
1046,"Hardee County, Florida"
1047,"Hardeman County, Tennessee"
1048,"Hardeman County, Texas"
1049,"Hardin County, Iowa"
1050,"Hardin County, Kentucky"
1051,"Hardin County, Ohio"
1052,"Hardin County, Tennessee"
1053,"Hardin County, Texas"
1054,"Hardy County, West Virginia"
1055,"Harford County, Maryland"
1056,"Harlan County, Kentucky"
1057,"Harnett County, North Carolina"
1058,"Harney County, Oregon"
1059,"Harper County, Kansas"
1060,"Harris County, Georgia"
1061,"Harris County, Texas"
1062,"Harrison County, Indiana"
1063,"Harrison County, Iowa"
1064,"Harrison County, Kentucky"
1065,"Harrison County, Mississippi"
1066,"Harrison County, Missouri"
1067,"Harrison County, Ohio"
1068,"Harrison County, Texas"
1069,"Harrison County, West Virginia"
1070,"Harrisonburg city, Virginia"
1071,"Hart County, Georgia"
1072,"Hart County, Kentucky"
1073,"Hartford County, Connecticut"
1074,"Hartley County, Texas"
1075,"Harvey County, Kansas"
1076,"Haskell County, Oklahoma"
1077,"Haskell County, Texas"
1078,"Hawaii County, Hawaii"
1079,"Hawkins County, Tennessee"
1080,"Hays County, Texas"
1081,"Haywood County, North Carolina"
1082,"Haywood County, Tennessee"
1083,"Heard County, Georgia"
1084,"Hempstead County, Arkansas"
1085,"Henderson County, Illinois"
1086,"Henderson County, Kentucky"
1087,"Henderson County, North Carolina"
1088,"Henderson County, Tennessee"
1089,"Henderson County, Texas"
1090,"Hendricks County, Indiana"
1091,"Hendry County, Florida"
1092,"Hennepin County, Minnesota"
1093,"Henrico County, Virginia"
1094,"Henry County, Alabama"
1095,"Henry County, Georgia"
1096,"Henry County, Illinois"
1097,"Henry County, Indiana"
1098,"Henry County, Iowa"
1099,"Henry County, Kentucky"
1100,"Henry County, Missouri"
1101,"Henry County, Ohio"
1102,"Henry County, Tennessee"
1103,"Henry County, Virginia"
1104,"Herkimer County, New York"
1105,"Hernando County, Florida"
1106,"Hertford County, North Carolina"
1107,"Hickman County, Tennessee"
1108,"Hickory County, Missouri"
1109,"Hidalgo County, New Mexico"
1110,"Hidalgo County, Texas"
1111,"Highland County, Ohio"
1112,"Highlands County, Florida"
1113,"Hill County, Montana"
1114,"Hill County, Texas"
1115,"Hillsborough County, Florida"
1116,"Hillsborough County, New Hampshire"
1117,"Hillsdale County, Michigan"
1118,"Hinds County, Mississippi"
1119,"Hocking County, Ohio"
1120,"Hockley County, Texas"
1121,"Hoke County, North Carolina"
1122,"Holmes County, Florida"
1123,"Holmes County, Mississippi"
1124,"Holmes County, Ohio"
1125,"Holt County, Nebraska"
1126,"Honolulu County, Hawaii"
1127,"Hood County, Texas"
1128,"Hood River County, Oregon"
1129,"Hopewell city, Virginia"
1130,"Hopkins County, Kentucky"
1131,"Hopkins County, Texas"
1132,"Horry County, South Carolina"
1133,"Hot Spring County, Arkansas"
1134,"Hot Springs County, Wyoming"
1135,"Houghton County, Michigan"
1136,"Houston County, Alabama"
1137,"Houston County, Georgia"
1138,"Houston County, Minnesota"
1139,"Houston County, Tennessee"
1140,"Houston County, Texas"
1141,"Howard County, Arkansas"
1142,"Howard County, Indiana"
1143,"Howard County, Iowa"
1144,"Howard County, Maryland"
1145,"Howard County, Missouri"
1146,"Howard County, Nebraska"
1147,"Howard County, Texas"
1148,"Howell County, Missouri"
1149,"Hubbard County, Minnesota"
1150,"Hudson County, New Jersey"
1151,"Huerfano County, Colorado"
1152,"Hughes County, Oklahoma"
1153,"Hughes County, South Dakota"
1154,"Humboldt County, California"
1155,"Humboldt County, Iowa"
1156,"Humboldt County, Nevada"
1157,"Humphreys County, Mississippi"
1158,"Humphreys County, Tennessee"
1159,"Hunt County, Texas"
1160,"Hunterdon County, New Jersey"
1161,"Huntingdon County, Pennsylvania"
1162,"Huntington County, Indiana"
1163,"Huron County, Michigan"
1164,"Huron County, Ohio"
1165,"Hutchinson County, South Dakota"
1166,"Hutchinson County, Texas"
1167,"Iberia County, Louisiana"
1168,"Iberville County, Louisiana"
1169,"Ida County, Iowa"
1170,"Idaho County, Idaho"
1171,"Imperial County, California"
1172,"Independence County, Arkansas"
1173,"Indian River County, Florida"
1174,"Indiana County, Pennsylvania"
1175,"Ingham County, Michigan"
1176,"Inyo County, California"
1177,"Iowa County, Iowa"
1178,"Iowa County, Wisconsin"
1179,"Iroquois County, Illinois"
1180,"Irwin County, Georgia"
1181,"Isabella County, Michigan"
1182,"Isanti County, Minnesota"
1183,"Island County, Washington"
1184,"Isle of Wight County, Virginia"
1185,"Itasca County, Minnesota"
1186,"Itawamba County, Mississippi"
1187,"Izard County, Arkansas"
1188,"Jack County, Texas"
1189,"Jackson County, Alabama"
1190,"Jackson County, Arkansas"
1191,"Jackson County, Florida"
1192,"Jackson County, Georgia"
1193,"Jackson County, Illinois"
1194,"Jackson County, Indiana"
1195,"Jackson County, Iowa"
1196,"Jackson County, Kansas"
1197,"Jackson County, Kentucky"
1198,"Jackson County, Louisiana"
1199,"Jackson County, Michigan"
1200,"Jackson County, Minnesota"
1201,"Jackson County, Mississippi"
1202,"Jackson County, Missouri"
1203,"Jackson County, North Carolina"
1204,"Jackson County, Ohio"
1205,"Jackson County, Oklahoma"
1206,"Jackson County, Oregon"
1207,"Jackson County, Tennessee"
1208,"Jackson County, Texas"
1209,"Jackson County, West Virginia"
1210,"Jackson County, Wisconsin"
1211,"James City County, Virginia"
1212,"Jasper County, Georgia"
1213,"Jasper County, Illinois"
1214,"Jasper County, Indiana"
1215,"Jasper County, Iowa"
1216,"Jasper County, Mississippi"
1217,"Jasper County, Missouri"
1218,"Jasper County, South Carolina"
1219,"Jasper County, Texas"
1220,"Jay County, Indiana"
1221,"Jeff Davis County, Georgia"
1222,"Jefferson County, Alabama"
1223,"Jefferson County, Arkansas"
1224,"Jefferson County, Colorado"
1225,"Jefferson County, Florida"
1226,"Jefferson County, Georgia"
1227,"Jefferson County, Idaho"
1228,"Jefferson County, Illinois"
1229,"Jefferson County, Indiana"
1230,"Jefferson County, Iowa"
1231,"Jefferson County, Kansas"
1232,"Jefferson County, Kentucky"
1233,"Jefferson County, Louisiana"
1234,"Jefferson County, Missouri"
1235,"Jefferson County, Montana"
1236,"Jefferson County, Nebraska"
1237,"Jefferson County, New York"
1238,"Jefferson County, Ohio"
1239,"Jefferson County, Oklahoma"
1240,"Jefferson County, Oregon"
1241,"Jefferson County, Pennsylvania"
1242,"Jefferson County, Tennessee"
1243,"Jefferson County, Texas"
1244,"Jefferson County, Washington"
1245,"Jefferson County, West Virginia"
1246,"Jefferson County, Wisconsin"
1247,"Jefferson Davis County, Louisiana"
1248,"Jefferson Davis County, Mississippi"
1249,"Jenkins County, Georgia"
1250,"Jennings County, Indiana"
1251,"Jerome County, Idaho"
1252,"Jersey County, Illinois"
1253,"Jessamine County, Kentucky"
1254,"Jim Hogg County, Texas"
1255,"Jim Wells County, Texas"
1256,"Jo Daviess County, Illinois"
1257,"Johnson County, Arkansas"
1258,"Johnson County, Georgia"
1259,"Johnson County, Illinois"
1260,"Johnson County, Indiana"
1261,"Johnson County, Iowa"
1262,"Johnson County, Kansas"
1263,"Johnson County, Kentucky"
1264,"Johnson County, Missouri"
1265,"Johnson County, Tennessee"
1266,"Johnson County, Texas"
1267,"Johnson County, Wyoming"
1268,"Johnston County, North Carolina"
1269,"Johnston County, Oklahoma"
1270,"Jones County, Georgia"
1271,"Jones County, Iowa"
1272,"Jones County, Mississippi"
1273,"Jones County, North Carolina"
1274,"Jones County, Texas"
1275,"Josephine County, Oregon"
1276,"Juab County, Utah"
1277,"Juneau County, Wisconsin"
1278,"Juniata County, Pennsylvania"
1279,"Kalamazoo County, Michigan"
1280,"Kalkaska County, Michigan"
1281,"Kanabec County, Minnesota"
1282,"Kanawha County, West Virginia"
1283,"Kandiyohi County, Minnesota"
1284,"Kane County, Illinois"
1285,"Kane County, Utah"
1286,"Kankakee County, Illinois"
1287,"Karnes County, Texas"
1288,"Kauai County, Hawaii"
1289,"Kaufman County, Texas"
1290,"Kay County, Oklahoma"
1291,"Kearney County, Nebraska"
1292,"Keith County, Nebraska"
1293,"Kemper County, Mississippi"
1294,"Kenai Peninsula Borough, Alaska"
1295,"Kendall County, Illinois"
1296,"Kendall County, Texas"
1297,"Kennebec County, Maine"
1298,"Kenosha County, Wisconsin"
1299,"Kent County, Delaware"
1300,"Kent County, Maryland"
1301,"Kent County, Michigan"
1302,"Kent County, Rhode Island"
1303,"Kenton County, Kentucky"
1304,"Keokuk County, Iowa"
1305,"Kern County, California"
1306,"Kerr County, Texas"
1307,"Kershaw County, South Carolina"
1308,"Kewaunee County, Wisconsin"
1309,"Kimball County, Nebraska"
1310,"Kimble County, Texas"
1311,"King and Queen County, Virginia"
1312,"King County, Washington"
1313,"King George County, Virginia"
1314,"King William County, Virginia"
1315,"Kingfisher County, Oklahoma"
1316,"Kingman County, Kansas"
1317,"Kings County, California"
1318,"Kings County, New York"
1319,"Kingsbury County, South Dakota"
1320,"Kiowa County, Oklahoma"
1321,"Kit Carson County, Colorado"
1322,"Kitsap County, Washington"
1323,"Kittitas County, Washington"
1324,"Klamath County, Oregon"
1325,"Kleberg County, Texas"
1326,"Klickitat County, Washington"
1327,"Knott County, Kentucky"
1328,"Knox County, Illinois"
1329,"Knox County, Indiana"
1330,"Knox County, Kentucky"
1331,"Knox County, Maine"
1332,"Knox County, Nebraska"
1333,"Knox County, Ohio"
1334,"Knox County, Tennessee"
1335,"Koochiching County, Minnesota"
1336,"Kootenai County, Idaho"
1337,"Kosciusko County, Indiana"
1338,"Kossuth County, Iowa"
1339,"La Crosse County, Wisconsin"
1340,"La Paz County, Arizona"
1341,"La Plata County, Colorado"
1342,"La Salle County, Louisiana"
1343,"La Salle County, Texas"
1344,"Labette County, Kansas"
1345,"Lac qui Parle County, Minnesota"
1346,"Lackawanna County, Pennsylvania"
1347,"Laclede County, Missouri"
1348,"Lafayette County, Florida"
1349,"Lafayette County, Louisiana"
1350,"Lafayette County, Mississippi"
1351,"Lafayette County, Missouri"
1352,"Lafayette County, Wisconsin"
1353,"Lafourche County, Louisiana"
1354,"LaGrange County, Indiana"
1355,"Lake County, California"
1356,"Lake County, Colorado"
1357,"Lake County, Florida"
1358,"Lake County, Illinois"
1359,"Lake County, Indiana"
1360,"Lake County, Michigan"
1361,"Lake County, Minnesota"
1362,"Lake County, Montana"
1363,"Lake County, Ohio"
1364,"Lake County, Oregon"
1365,"Lake County, South Dakota"
1366,"Lake of the Woods County, Minnesota"
1367,"Lamar County, Alabama"
1368,"Lamar County, Georgia"
1369,"Lamar County, Mississippi"
1370,"Lamar County, Texas"
1371,"Lamb County, Texas"
1372,"Lamoille County, Vermont"
1373,"Lampasas County, Texas"
1374,"Lancaster County, Nebraska"
1375,"Lancaster County, Pennsylvania"
1376,"Lancaster County, South Carolina"
1377,"Lancaster County, Virginia"
1378,"Lander County, Nevada"
1379,"Lane County, Oregon"
1380,"Langlade County, Wisconsin"
1381,"Lanier County, Georgia"
1382,"Lapeer County, Michigan"
1383,"LaPorte County, Indiana"
1384,"Laramie County, Wyoming"
1385,"Larimer County, Colorado"
1386,"Larue County, Kentucky"
1387,"Las Animas County, Colorado"
1388,"LaSalle County, Illinois"
1389,"Lassen County, California"
1390,"Latah County, Idaho"
1391,"Latimer County, Oklahoma"
1392,"Lauderdale County, Alabama"
1393,"Lauderdale County, Mississippi"
1394,"Lauderdale County, Tennessee"
1395,"Laurel County, Kentucky"
1396,"Laurens County, Georgia"
1397,"Laurens County, South Carolina"
1398,"Lavaca County, Texas"
1399,"Lawrence County, Alabama"
1400,"Lawrence County, Arkansas"
1401,"Lawrence County, Illinois"
1402,"Lawrence County, Indiana"
1403,"Lawrence County, Kentucky"
1404,"Lawrence County, Mississippi"
1405,"Lawrence County, Missouri"
1406,"Lawrence County, Ohio"
1407,"Lawrence County, Pennsylvania"
1408,"Lawrence County, South Dakota"
1409,"Lawrence County, Tennessee"
1410,"Le Flore County, Oklahoma"
1411,"Le Sueur County, Minnesota"
1412,"Lea County, New Mexico"
1413,"Leake County, Mississippi"
1414,"Leavenworth County, Kansas"
1415,"Lebanon County, Pennsylvania"
1416,"Lee County, Alabama"
1417,"Lee County, Florida"
1418,"Lee County, Georgia"
1419,"Lee County, Illinois"
1420,"Lee County, Iowa"
1421,"Lee County, Mississippi"
1422,"Lee County, North Carolina"
1423,"Lee County, South Carolina"
1424,"Lee County, Texas"
1425,"Lee County, Virginia"
1426,"Leelanau County, Michigan"
1427,"Leflore County, Mississippi"
1428,"Lehigh County, Pennsylvania"
1429,"Lemhi County, Idaho"
1430,"Lenawee County, Michigan"
1431,"Lenoir County, North Carolina"
1432,"Leon County, Florida"
1433,"Leon County, Texas"
1434,"Letcher County, Kentucky"
1435,"Levy County, Florida"
1436,"Lewis and Clark County, Montana"
1437,"Lewis County, Kentucky"
1438,"Lewis County, Missouri"
1439,"Lewis County, New York"
1440,"Lewis County, Tennessee"
1441,"Lewis County, Washington"
1442,"Lewis County, West Virginia"
1443,"Lexington city, Virginia"
1444,"Lexington County, South Carolina"
1445,"Liberty County, Florida"
1446,"Liberty County, Georgia"
1447,"Liberty County, Texas"
1448,"Licking County, Ohio"
1449,"Limestone County, Alabama"
1450,"Limestone County, Texas"
1451,"Lincoln County, Arkansas"
1452,"Lincoln County, Colorado"
1453,"Lincoln County, Georgia"
1454,"Lincoln County, Idaho"
1455,"Lincoln County, Kentucky"
1456,"Lincoln County, Louisiana"
1457,"Lincoln County, Maine"
1458,"Lincoln County, Minnesota"
1459,"Lincoln County, Mississippi"
1460,"Lincoln County, Missouri"
1461,"Lincoln County, Montana"
1462,"Lincoln County, Nebraska"
1463,"Lincoln County, New Mexico"
1464,"Lincoln County, North Carolina"
1465,"Lincoln County, Oklahoma"
1466,"Lincoln County, Oregon"
1467,"Lincoln County, South Dakota"
1468,"Lincoln County, Tennessee"
1469,"Lincoln County, Washington"
1470,"Lincoln County, West Virginia"
1471,"Lincoln County, Wisconsin"
1472,"Lincoln County, Wyoming"
1473,"Linn County, Iowa"
1474,"Linn County, Kansas"
1475,"Linn County, Missouri"
1476,"Linn County, Oregon"
1477,"Litchfield County, Connecticut"
1478,"Little River County, Arkansas"
1479,"Live Oak County, Texas"
1480,"Livingston County, Illinois"
1481,"Livingston County, Kentucky"
1482,"Livingston County, Louisiana"
1483,"Livingston County, Michigan"
1484,"Livingston County, Missouri"
1485,"Livingston County, New York"
1486,"Llano County, Texas"
1487,"Logan County, Arkansas"
1488,"Logan County, Colorado"
1489,"Logan County, Illinois"
1490,"Logan County, Kentucky"
1491,"Logan County, Ohio"
1492,"Logan County, Oklahoma"
1493,"Logan County, West Virginia"
1494,"Long County, Georgia"
1495,"Lonoke County, Arkansas"
1496,"Lorain County, Ohio"
1497,"Los Alamos County, New Mexico"
1498,"Los Angeles County, California"
1499,"Loudon County, Tennessee"
1500,"Loudoun County, Virginia"
1501,"Louisa County, Iowa"
1502,"Louisa County, Virginia"
1503,"Love County, Oklahoma"
1504,"Loving County, Texas"
1505,"Lowndes County, Alabama"
1506,"Lowndes County, Georgia"
1507,"Lowndes County, Mississippi"
1508,"Lubbock County, Texas"
1509,"Lucas County, Iowa"
1510,"Lucas County, Ohio"
1511,"Luce County, Michigan"
1512,"Lumpkin County, Georgia"
1513,"Luna County, New Mexico"
1514,"Lunenburg County, Virginia"
1515,"Luzerne County, Pennsylvania"
1516,"Lycoming County, Pennsylvania"
1517,"Lynchburg city, Virginia"
1518,"Lynn County, Texas"
1519,"Lyon County, Iowa"
1520,"Lyon County, Kansas"
1521,"Lyon County, Kentucky"
1522,"Lyon County, Minnesota"
1523,"Lyon County, Nevada"
1524,"Mackinac County, Michigan"
1525,"Macomb County, Michigan"
1526,"Macon County, Alabama"
1527,"Macon County, Georgia"
1528,"Macon County, Illinois"
1529,"Macon County, Missouri"
1530,"Macon County, North Carolina"
1531,"Macon County, Tennessee"
1532,"Macoupin County, Illinois"
1533,"Madera County, California"
1534,"Madison County, Alabama"
1535,"Madison County, Arkansas"
1536,"Madison County, Florida"
1537,"Madison County, Georgia"
1538,"Madison County, Idaho"
1539,"Madison County, Illinois"
1540,"Madison County, Indiana"
1541,"Madison County, Iowa"
1542,"Madison County, Kentucky"
1543,"Madison County, Louisiana"
1544,"Madison County, Mississippi"
1545,"Madison County, Missouri"
1546,"Madison County, Montana"
1547,"Madison County, Nebraska"
1548,"Madison County, New York"
1549,"Madison County, North Carolina"
1550,"Madison County, Ohio"
1551,"Madison County, Tennessee"
1552,"Madison County, Texas"
1553,"Madison County, Virginia"
1554,"Mahaska County, Iowa"
1555,"Mahnomen County, Minnesota"
1556,"Mahoning County, Ohio"
1557,"Major County, Oklahoma"
1558,"Malheur County, Oregon"
1559,"Manassas city, Virginia"
1560,"Manassas Park city, Virginia"
1561,"Manatee County, Florida"
1562,"Manistee County, Michigan"
1563,"Manitowoc County, Wisconsin"
1564,"Marathon County, Wisconsin"
1565,"Marengo County, Alabama"
1566,"Maricopa County, Arizona"
1567,"Maries County, Missouri"
1568,"Marin County, California"
1569,"Marinette County, Wisconsin"
1570,"Marion County, Alabama"
1571,"Marion County, Arkansas"
1572,"Marion County, Florida"
1573,"Marion County, Georgia"
1574,"Marion County, Illinois"
1575,"Marion County, Indiana"
1576,"Marion County, Iowa"
1577,"Marion County, Kansas"
1578,"Marion County, Kentucky"
1579,"Marion County, Mississippi"
1580,"Marion County, Missouri"
1581,"Marion County, Ohio"
1582,"Marion County, Oregon"
1583,"Marion County, South Carolina"
1584,"Marion County, Tennessee"
1585,"Marion County, Texas"
1586,"Marion County, West Virginia"
1587,"Mariposa County, California"
1588,"Marlboro County, South Carolina"
1589,"Marquette County, Michigan"
1590,"Marquette County, Wisconsin"
1591,"Marshall County, Alabama"
1592,"Marshall County, Illinois"
1593,"Marshall County, Indiana"
1594,"Marshall County, Iowa"
1595,"Marshall County, Kansas"
1596,"Marshall County, Kentucky"
1597,"Marshall County, Minnesota"
1598,"Marshall County, Mississippi"
1599,"Marshall County, Oklahoma"
1600,"Marshall County, Tennessee"
1601,"Marshall County, West Virginia"
1602,"Martin County, Florida"
1603,"Martin County, Indiana"
1604,"Martin County, Minnesota"
1605,"Martin County, North Carolina"
1606,"Martin County, Texas"
1607,"Martinsville city, Virginia"
1608,"Mason County, Illinois"
1609,"Mason County, Kentucky"
1610,"Mason County, Michigan"
1611,"Mason County, Washington"
1612,"Mason County, West Virginia"
1613,"Massac County, Illinois"
1614,"Matagorda County, Texas"
1615,"Mathews County, Virginia"
1616,"Maui County, Hawaii"
1617,"Maury County, Tennessee"
1618,"Maverick County, Texas"
1619,"Mayes County, Oklahoma"
1620,"McClain County, Oklahoma"
1621,"McCook County, South Dakota"
1622,"McCormick County, South Carolina"
1623,"McCracken County, Kentucky"
1624,"McCreary County, Kentucky"
1625,"McCulloch County, Texas"
1626,"McCurtain County, Oklahoma"
1627,"McDonald County, Missouri"
1628,"McDonough County, Illinois"
1629,"McDowell County, North Carolina"
1630,"McDowell County, West Virginia"
1631,"McDuffie County, Georgia"
1632,"McHenry County, Illinois"
1633,"McIntosh County, Georgia"
1634,"McIntosh County, Oklahoma"
1635,"McKean County, Pennsylvania"
1636,"McKenzie County, North Dakota"
1637,"McKinley County, New Mexico"
1638,"McLean County, Illinois"
1639,"McLean County, Kentucky"
1640,"McLean County, North Dakota"
1641,"McLennan County, Texas"
1642,"McLeod County, Minnesota"
1643,"McMinn County, Tennessee"
1644,"McMullen County, Texas"
1645,"McNairy County, Tennessee"
1646,"McPherson County, Kansas"
1647,"Meade County, Kentucky"
1648,"Meade County, South Dakota"
1649,"Mecklenburg County, North Carolina"
1650,"Mecklenburg County, Virginia"
1651,"Mecosta County, Michigan"
1652,"Medina County, Ohio"
1653,"Medina County, Texas"
1654,"Meeker County, Minnesota"
1655,"Meigs County, Ohio"
1656,"Meigs County, Tennessee"
1657,"Menard County, Illinois"
1658,"Mendocino County, California"
1659,"Menifee County, Kentucky"
1660,"Menominee County, Michigan"
1661,"Merced County, California"
1662,"Mercer County, Illinois"
1663,"Mercer County, Kentucky"
1664,"Mercer County, New Jersey"
1665,"Mercer County, North Dakota"
1666,"Mercer County, Ohio"
1667,"Mercer County, Pennsylvania"
1668,"Mercer County, West Virginia"
1669,"Meriwether County, Georgia"
1670,"Merrick County, Nebraska"
1671,"Merrimack County, New Hampshire"
1672,"Mesa County, Colorado"
1673,"Metcalfe County, Kentucky"
1674,"Miami County, Indiana"
1675,"Miami County, Kansas"
1676,"Miami County, Ohio"
1677,"Miami-Dade County, Florida"
1678,"Middlesex County, Connecticut"
1679,"Middlesex County, Massachusetts"
1680,"Middlesex County, New Jersey"
1681,"Middlesex County, Virginia"
1682,"Midland County, Michigan"
1683,"Midland County, Texas"
1684,"Mifflin County, Pennsylvania"
1685,"Milam County, Texas"
1686,"Millard County, Utah"
1687,"Mille Lacs County, Minnesota"
1688,"Miller County, Arkansas"
1689,"Miller County, Georgia"
1690,"Miller County, Missouri"
1691,"Mills County, Iowa"
1692,"Milwaukee County, Wisconsin"
1693,"Mineral County, Montana"
1694,"Mineral County, Nevada"
1695,"Mineral County, West Virginia"
1696,"Mingo County, West Virginia"
1697,"Minidoka County, Idaho"
1698,"Minnehaha County, South Dakota"
1699,"Missaukee County, Michigan"
1700,"Mississippi County, Arkansas"
1701,"Mississippi County, Missouri"
1702,"Missoula County, Montana"
1703,"Mitchell County, Georgia"
1704,"Mitchell County, Iowa"
1705,"Mitchell County, Kansas"
1706,"Mitchell County, North Carolina"
1707,"Mitchell County, Texas"
1708,"Mobile County, Alabama"
1709,"Modoc County, California"
1710,"Moffat County, Colorado"
1711,"Mohave County, Arizona"
1712,"Moniteau County, Missouri"
1713,"Monmouth County, New Jersey"
1714,"Mono County, California"
1715,"Monona County, Iowa"
1716,"Monongalia County, West Virginia"
1717,"Monroe County, Alabama"
1718,"Monroe County, Arkansas"
1719,"Monroe County, Florida"
1720,"Monroe County, Georgia"
1721,"Monroe County, Illinois"
1722,"Monroe County, Indiana"
1723,"Monroe County, Iowa"
1724,"Monroe County, Kentucky"
1725,"Monroe County, Michigan"
1726,"Monroe County, Mississippi"
1727,"Monroe County, Missouri"
1728,"Monroe County, New York"
1729,"Monroe County, Ohio"
1730,"Monroe County, Pennsylvania"
1731,"Monroe County, Tennessee"
1732,"Monroe County, West Virginia"
1733,"Monroe County, Wisconsin"
1734,"Montague County, Texas"
1735,"Montcalm County, Michigan"
1736,"Monterey County, California"
1737,"Montezuma County, Colorado"
1738,"Montgomery County, Alabama"
1739,"Montgomery County, Arkansas"
1740,"Montgomery County, Georgia"
1741,"Montgomery County, Illinois"
1742,"Montgomery County, Indiana"
1743,"Montgomery County, Iowa"
1744,"Montgomery County, Kansas"
1745,"Montgomery County, Kentucky"
1746,"Montgomery County, Maryland"
1747,"Montgomery County, Mississippi"
1748,"Montgomery County, Missouri"
1749,"Montgomery County, New York"
1750,"Montgomery County, North Carolina"
1751,"Montgomery County, Ohio"
1752,"Montgomery County, Pennsylvania"
1753,"Montgomery County, Tennessee"
1754,"Montgomery County, Texas"
1755,"Montgomery County, Virginia"
1756,"Montmorency County, Michigan"
1757,"Montour County, Pennsylvania"
1758,"Montrose County, Colorado"
1759,"Moody County, South Dakota"
1760,"Moore County, North Carolina"
1761,"Moore County, Tennessee"
1762,"Moore County, Texas"
1763,"Morehouse County, Louisiana"
1764,"Morgan County, Alabama"
1765,"Morgan County, Colorado"
1766,"Morgan County, Georgia"
1767,"Morgan County, Illinois"
1768,"Morgan County, Indiana"
1769,"Morgan County, Kentucky"
