,county_state
209,"Boone County, Indiana"
210,"Boone County, Iowa"
211,"Boone County, Kentucky"
212,"Boone County, Missouri"
213,"Boone County, West Virginia"
214,"Bosque County, Texas"
215,"Bossier County, Louisiana"
216,"Botetourt County, Virginia"
217,"Bottineau County, North Dakota"
218,"Boulder County, Colorado"
219,"Boundary County, Idaho"
220,"Bourbon County, Kansas"
221,"Bourbon County, Kentucky"
222,"Bowie County, Texas"
223,"Box Butte County, Nebraska"
224,"Box Elder County, Utah"
225,"Boyd County, Kentucky"
226,"Boyle County, Kentucky"
227,"Bracken County, Kentucky"
228,"Bradford County, Florida"
229,"Bradford County, Pennsylvania"
230,"Bradley County, Arkansas"
231,"Bradley County, Tennessee"
232,"Branch County, Michigan"
233,"Brantley County, Georgia"
234,"Braxton County, West Virginia"
235,"Brazoria County, Texas"
236,"Brazos County, Texas"
237,"Breathitt County, Kentucky"
238,"Breckinridge County, Kentucky"
239,"Bremer County, Iowa"
240,"Brevard County, Florida"
241,"Brewster County, Texas"
242,"Bristol city, Virginia"
243,"Bristol County, Massachusetts"
244,"Bristol County, Rhode Island"
245,"Broadwater County, Montana"
246,"Bronx County, New York"
247,"Brooke County, West Virginia"
248,"Brookings County, South Dakota"
249,"Brooks County, Georgia"
250,"Brooks County, Texas"
251,"Broome County, New York"
252,"Broomfield County, Colorado"
253,"Broward County, Florida"
254,"Brown County, Indiana"
255,"Brown County, Kansas"
256,"Brown County, Minnesota"
257,"Brown County, Ohio"
258,"Brown County, South Dakota"
259,"Brown County, Texas"
260,"Brown County, Wisconsin"
261,"Brule County, South Dakota"
262,"Brunswick County, North Carolina"
263,"Brunswick County, Virginia"
264,"Bryan County, Georgia"
265,"Bryan County, Oklahoma"
266,"Buchanan County, Iowa"
267,"Buchanan County, Missouri"
268,"Buchanan County, Virginia"
269,"Buckingham County, Virginia"
270,"Bucks County, Pennsylvania"
271,"Buena Vista city, Virginia"
272,"Buena Vista County, Iowa"
273,"Buffalo County, Nebraska"
274,"Buffalo County, Wisconsin"
275,"Bullitt County, Kentucky"
276,"Bulloch County, Georgia"
277,"Bullock County, Alabama"
278,"Buncombe County, North Carolina"
279,"Bureau County, Illinois"
280,"Burke County, Georgia"
281,"Burke County, North Carolina"
282,"Burleigh County, North Dakota"
283,"Burleson County, Texas"
