"","Region","State"
"243","Caribou County","Idaho"
"244","Carlton County","Minnesota"
"245","Caroline County","Maryland"
"246","Carroll County","Arkansas"
"247","Carson City","Nevada"
"248","Carson County","Texas"
"249","Carter County","Kentucky"
"250","Carteret County","North Carolina"
"251","Carver County","Minnesota"
"252","Cascade County","Montana"
"253","Casey County","Kentucky"
"254","Cass County","Illinois"
"255","Cassia County","Idaho"
"256","Castro County","Texas"
"257","Caswell County","North Carolina"
"258","Catahoula County","Louisiana"
"259","Catawba County","North Carolina"
"260","Catoosa County","Georgia"
"261","Cattaraugus County","New York"
"262","Cayuga County","New York"
"263","Cecil County","Maryland"
"264","Cedar County","Iowa"
"265","Centre County","Pennsylvania"
"266","Cerro Gordo County","Iowa"
"267","Chaffee County","Colorado"
"268","Chambers County","Alabama"
"269","Champaign County","Illinois"
"270","Chariton County","Missouri"
"271","Charles City County","Virginia"
"272","Charles County","Maryland"
"273","Charles Mix County","South Dakota"
"274","Charleston County","South Carolina"
"275","Charlevoix County","Michigan"
"276","Charlotte County","Florida"
"277","Charlottesville city","Virginia"
"278","Charlton County","Georgia"
"279","Chatham County","Georgia"
"280","Chattahoochee County","Georgia"
"281","Chattooga County","Georgia"
"282","Chautauqua County","New York"
"283","Chaves County","New Mexico"
"284","Cheatham County","Tennessee"
"285","Cheboygan County","Michigan"
"286","Chelan County","Washington"
"287","Chemung County","New York"
"288","Chenango County","New York"
"289","Cherokee County","Alabama"
"290","Cherry County","Nebraska"
"291","Chesapeake city","Virginia"
"292","Cheshire County","New Hampshire"
"293","Chester County","Pennsylvania"
"294","Chesterfield County","South Carolina"
"295","Cheyenne County","Nebraska"
"296","Chickasaw County","Iowa"
"297","Chicot County","Arkansas"
"298","Childress County","Texas"
"299","Chilton County","Alabama"
"300","Chippewa County","Michigan"
"301","Chisago County","Minnesota"
"302","Chittenden County","Vermont"
"303","Choctaw County","Alabama"
"304","Chowan County","North Carolina"
"305","Christian County","Illinois"
"306","Churchill County","Nevada"
"307","Cibola County","New Mexico"
"308","Citrus County","Florida"
"309","Clackamas County","Oregon"
"310","Claiborne County","Louisiana"
"311","Clallam County","Washington"
"312","Clare County","Michigan"
"313","Clarendon County","South Carolina"
"314","Clarion County","Pennsylvania"
"315","Clark County","Arkansas"
"316","Clarke County","Alabama"
"317","Clatsop County","Oregon"
"318","Clay County","Alabama"
"319","Clayton County","Georgia"
"320","Clear Creek County","Colorado"
"321","Clearfield County","Pennsylvania"
"322","Clearwater County","Idaho"
"323","Cleburne County","Alabama"
"324","Clermont County","Ohio"
"325","Cleveland County","Arkansas"
"326","Clinch County","Georgia"
"327","Clinton County","Illinois"
"328","Cloud County","Kansas"
"329","Coahoma County","Mississippi"
"330","Coal County","Oklahoma"
"331","Cobb County","Georgia"
"332","Cochise County","Arizona"
"333","Cocke County","Tennessee"
"334","Coconino County","Arizona"
"335","Codington County","South Dakota"
"336","Coffee County","Alabama"
"337","Coffey County","Kansas"
"338","Coke County","Texas"
"339","Colbert County","Alabama"
"340","Cole County","Missouri"
"341","Coleman County","Texas"
"342","Coles County","Illinois"
"343","Colfax County","Nebraska"
"344","Colleton County","South Carolina"
"345","Collier County","Florida"
"346","Collin County","Texas"
"347","Colonial Heights city","Virginia"
"348","Colorado County","Texas"
"349","Colquitt County","Georgia"
"350","Columbia County","Arkansas"
"351","Columbiana County","Ohio"
"352","Columbus County","North Carolina"
"353","Colusa County","California"
"354","Comal County","Texas"
"355","Comanche County","Oklahoma"
"356","Concordia County","Louisiana"
"357","Conecuh County","Alabama"
"358","Conejos County","Colorado"
"359","Contra Costa County","California"
"360","Converse County","Wyoming"
"361","Conway County","Arkansas"
"362","Cook County","Georgia"
"363","Cooke County","Texas"
"364","Cooper County","Missouri"
"365","Coos County","New Hampshire"
"366","Coosa County","Alabama"
"367","Copiah County","Mississippi"
"368","Cortland County","New York"
"369","Coryell County","Texas"
"370","Coshocton County","Ohio"
"371","Cotton County","Oklahoma"
"372","Cottonwood County","Minnesota"
"373","Covington city","Virginia"
"374","Covington County","Alabama"
"375","Coweta County","Georgia"
"376","Cowley County","Kansas"
"377","Cowlitz County","Washington"
"378","Craig County","Oklahoma"
"379","Craighead County","Arkansas"
"380","Crane County","Texas"
"381","Craven County","North Carolina"
"382","Crawford County","Arkansas"
"383","Creek County","Oklahoma"
"384","Crenshaw County","Alabama"
"385","Crisp County","Georgia"
"386","Crittenden County","Arkansas"
"387","Crockett County","Tennessee"
"388","Crook County","Oregon"
"389","Crosby County","Texas"
"390","Cross County","Arkansas"
"391","Crow Wing County","Minnesota"
"392","Culberson County","Texas"
"393","Cullman County","Alabama"
"394","Culpeper County","Virginia"
"395","Cumberland County","Illinois"
"396","Cuming County","Nebraska"
"397","Currituck County","North Carolina"
"398","Curry County","New Mexico"
"399","Custer County","Montana"
"400","Cuyahoga County","Ohio"
"401","Dade County","Georgia"
"402","Dakota County","Minnesota"
"403","Dale County","Alabama"
"404","Dallam County","Texas"
"405","Dallas County","Alabama"
"406","Dane County","Wisconsin"
"407","Danville city","Virginia"
"408","Dare County","North Carolina"
"409","Darke County","Ohio"
"410","Darlington County","South Carolina"
"411","Dauphin County","Pennsylvania"
"412","Davidson County","North Carolina"
"413","Davie County","North Carolina"
"414","Daviess County","Indiana"
"415","Davis County","Iowa"
"416","Davison County","South Dakota"
"417","Dawes County","Nebraska"
"418","Dawson County","Georgia"
"419","De Soto County","Louisiana"
"420","De Witt County","Illinois"
"421","Deaf Smith County","Texas"
"422","Dearborn County","Indiana"
"423","Decatur County","Georgia"
"424","Deer Lodge County","Montana"
"425","Defiance County","Ohio"
"426","DeKalb County","Alabama"
"427","Del Norte County","California"
"428","Delaware County","Indiana"
"429","Delta County","Colorado"
"430","Dent County","Missouri"
"431","Denton County","Texas"
"432","Denver County","Colorado"
"433","Des Moines County","Iowa"
"434","Deschutes County","Oregon"
"435","Desha County","Arkansas"
"436","DeSoto County","Florida"
"437","Deuel County","Nebraska"
"438","Dewey County","South Dakota"
"439","DeWitt County","Texas"
"440","Dickenson County","Virginia"
"441","Dickinson County","Iowa"
"442","Dickson County","Tennessee"
"443","Dillon County","South Carolina"
"444","Dimmit County","Texas"
"445","Dinwiddie County","Virginia"
"446","Dixie County","Florida"
"447","Dixon County","Nebraska"
"448","Dodge County","Georgia"
"449","Dona Ana County","New Mexico"
"450","Doniphan County","Kansas"
"451","Donley County","Texas"
"452","Dooly County","Georgia"
"453","Door County","Wisconsin"
"454","Dorchester County","Maryland"
"455","Dougherty County","Georgia"
"456","Douglas County","Colorado"
"457","Drew County","Arkansas"
"458","Dubois County","Indiana"
"459","Dubuque County","Iowa"
"460","Duchesne County","Utah"
"461","Dukes County","Massachusetts"
"462","Dunklin County","Missouri"
"463","Dunn County","North Dakota"
"464","DuPage County","Illinois"
"465","Duplin County","North Carolina"
"466","Durham County","North Carolina"
"467","Dutchess County","New York"
"468","Duval County","Florida"
"469","Dyer County","Tennessee"
"470","Eagle County","Colorado"
"471","Early County","Georgia"
"472","East Baton Rouge County","Louisiana"
"473","East Feliciana County","Louisiana"
"474","Eastland County","Texas"
"475","Eaton County","Michigan"
"476","Eau Claire County","Wisconsin"
"477","Ector County","Texas"
"478","Eddy County","New Mexico"
"479","Edgar County","Illinois"
"480","Edgecombe County","North Carolina"
"481","Edgefield County","South Carolina"
"482","Edmonson County","Kentucky"
"483","Edwards County","Illinois"
"484","Effingham County","Georgia"
"485","El Dorado County","California"
"486","El Paso County","Colorado"
"487","Elbert County","Colorado"
"488","Elk County","Pennsylvania"
"489","Elkhart County","Indiana"
"490","Elko County","Nevada"
"491","Ellis County","Kansas"
"492","Ellsworth County","Kansas"
"493","Elmore County","Alabama"
"494","Emanuel County","Georgia"
"495","Emery County","Utah"
"496","Emmet County","Iowa"
"497","Emporia city","Virginia"
"498","Erath County","Texas"
"499","Erie County","New York"
"500","Escambia County","Alabama"
"501","Essex County","Massachusetts"
"502","Estill County","Kentucky"
"503","Etowah County","Alabama"
"504","Evangeline County","Louisiana"
"505","Evans County","Georgia"
"506","Fairfax city","Virginia"
"507","Fairfax County","Virginia"
"508","Fairfield County","Connecticut"
"509","Fall River County","South Dakota"
"510","Falls Church city","Virginia"
"511","Falls County","Texas"
"512","Fannin County","Georgia"
"513","Faribault County","Minnesota"
"514","Faulkner County","Arkansas"
"515","Fauquier County","Virginia"
"516","Fayette County","Alabama"
"517","Fentress County","Tennessee"
"518","Fergus County","Montana"
"519","Ferry County","Washington"
"520","Fillmore County","Minnesota"
"521","Finney County","Kansas"
"522","Flagler County","Florida"
"523","Flathead County","Montana"
"524","Fleming County","Kentucky"
"525","Florence County","South Carolina"
"526","Floyd County","Georgia"
"527","Fluvanna County","Virginia"
"528","Fond du Lac County","Wisconsin"
"529","Ford County","Illinois"
"530","Forest County","Wisconsin"
"531","Forrest County","Mississippi"
"532","Forsyth County","Georgia"
"533","Fort Bend County","Texas"
"534","Fountain County","Indiana"
"535","Franklin city","Virginia"
"536","Franklin County","Alabama"
"537","Frederick County","Maryland"
"538","Fredericksburg city","Virginia"
"539","Freeborn County","Minnesota"
"540","Freestone County","Texas"
"541","Fremont County","Colorado"
"542","Fresno County","California"
"543","Frio County","Texas"
"544","Fulton County","Arkansas"
"545","Gadsden County","Florida"
"546","Gage County","Nebraska"
"547","Gaines County","Texas"
"548","Galax city","Virginia"
"549","Gallatin County","Kentucky"
"550","Gallia County","Ohio"
"551","Galveston County","Texas"
"552","Garfield County","Colorado"
"553","Garland County","Arkansas"
"554","Garrard County","Kentucky"
"555","Garrett County","Maryland"
"556","Garvin County","Oklahoma"
"557","Garza County","Texas"
"558","Gasconade County","Missouri"
"559","Gaston County","North Carolina"
"560","Gates County","North Carolina"
"561","Geary County","Kansas"
"562","Geauga County","Ohio"
"563","Gem County","Idaho"
"564","Genesee County","Michigan"
"565","Geneva County","Alabama"
"566","Gentry County","Missouri"
"567","George County","Mississippi"
"568","Georgetown County","South Carolina"
"569","Gibson County","Indiana"
"570","Gila County","Arizona"
"571","Gilchrist County","Florida"
"572","Giles County","Tennessee"
"573","Gillespie County","Texas"
"574","Gilmer County","Georgia"
"575","Gilpin County","Colorado"
"576","Glacier County","Montana"
"577","Glades County","Florida"
"578","Gladwin County","Michigan"
"579","Glenn County","California"
"580","Gloucester County","New Jersey"
"581","Glynn County","Georgia"
"582","Gogebic County","Michigan"
"583","Goliad County","Texas"
"584","Gonzales County","Texas"
"585","Goochland County","Virginia"
"586","Goodhue County","Minnesota"
"587","Gooding County","Idaho"
"588","Gordon County","Georgia"
"589","Goshen County","Wyoming"
"590","Grady County","Georgia"
"591","Grafton County","New Hampshire"
"592","Graham County","Arizona"
"593","Grainger County","Tennessee"
"594","Grand County","Colorado"
"595","Grand Forks County","North Dakota"
"596","Grand Isle County","Vermont"
"597","Grand Traverse County","Michigan"
"598","Grant County","Arkansas"
"599","Granville County","North Carolina"
"600","Gratiot County","Michigan"
"601","Graves County","Kentucky"
"602","Gray County","Texas"
"603","Grays Harbor County","Washington"
"604","Grayson County","Kentucky"
"605","Green County","Kentucky"
"606","Green Lake County","Wisconsin"
"607","Greenbrier County","West Virginia"
"608","Greene County","Alabama"
"609","Greenlee County","Arizona"
"610","Greensville County","Virginia"
"611","Greenup County","Kentucky"
"612","Greenville County","South Carolina"
"613","Greenwood County","Kansas"
"614","Greer County","Oklahoma"
"615","Gregg County","Texas"
"616","Grenada County","Mississippi"
"617","Grimes County","Texas"
"618","Grundy County","Illinois"
"619","Guadalupe County","New Mexico"
"620","Guernsey County","Ohio"
"621","Guilford County","North Carolina"
"622","Gulf County","Florida"
"623","Gunnison County","Colorado"
"624","Guthrie County","Iowa"
"625","Gwinnett County","Georgia"
"626","Habersham County","Georgia"
"627","Hale County","Alabama"
"628","Halifax County","North Carolina"
"629","Hall County","Georgia"
"630","Hamblen County","Tennessee"
"631","Hamilton County","Florida"
"632","Hamlin County","South Dakota"
"633","Hampden County","Massachusetts"
"634","Hampshire County","Massachusetts"
"635","Hampton city","Virginia"
"636","Hampton County","South Carolina"
"637","Hancock County","Georgia"
"638","Hanover County","Virginia"
"639","Haralson County","Georgia"
"640","Hardee County","Florida"
"641","Hardeman County","Tennessee"
"642","Hardin County","Iowa"
"643","Hardy County","West Virginia"
"644","Harford County","Maryland"
"645","Harlan County","Kentucky"
"646","Harnett County","North Carolina"
"647","Harney County","Oregon"
"648","Harper County","Kansas"
"649","Harris County","Georgia"
"650","Harrison County","Indiana"
"651","Harrisonburg city","Virginia"
"652","Hart County","Georgia"
"653","Hartford County","Connecticut"
"654","Hartley County","Texas"
"655","Harvey County","Kansas"
"656","Haskell County","Oklahoma"
"657","Hawaii County","Hawaii"
"658","Hawkins County","Tennessee"
"659","Hays County","Texas"
"660","Haywood County","North Carolina"
"661","Heard County","Georgia"
"662","Hempstead County","Arkansas"
"663","Henderson County","Illinois"
"664","Hendricks County","Indiana"
"665","Hendry County","Florida"
"666","Hennepin County","Minnesota"
"667","Henrico County","Virginia"
"668","Henry County","Alabama"
"669","Herkimer County","New York"
"670","Hernando County","Florida"
"671","Hertford County","North Carolina"
"672","Hickman County","Tennessee"
"673","Hickory County","Missouri"
"674","Hidalgo County","New Mexico"
"675","Highland County","Ohio"
"676","Highlands County","Florida"
"677","Hill County","Montana"
"678","Hillsborough County","Florida"
"679","Hillsdale County","Michigan"
"680","Hinds County","Mississippi"
"681","Hocking County","Ohio"
"682","Hockley County","Texas"
"683","Hoke County","North Carolina"
"684","Holmes County","Florida"
"685","Holt County","Nebraska"
"686","Honolulu County","Hawaii"
"687","Hood County","Texas"
"688","Hood River County","Oregon"
"689","Hopewell city","Virginia"
"690","Hopkins County","Kentucky"
"691","Horry County","South Carolina"
"692","Hot Spring County","Arkansas"
"693","Hot Springs County","Wyoming"
"694","Houghton County","Michigan"
"695","Houston County","Alabama"
"696","Howard County","Arkansas"
"697","Howell County","Missouri"
"698","Hubbard County","Minnesota"
"699","Hudson County","New Jersey"
"700","Huerfano County","Colorado"
"701","Hughes County","Oklahoma"
"702","Humboldt County","California"
"703","Humphreys County","Mississippi"
"704","Hunt County","Texas"
"705","Hunterdon County","New Jersey"
"706","Huntingdon County","Pennsylvania"
"707","Huntington County","Indiana"
"708","Huron County","Michigan"
"709","Hutchinson County","South Dakota"
"710","Iberia County","Louisiana"
"711","Iberville County","Louisiana"
"712","Ida County","Iowa"
"713","Idaho County","Idaho"
"714","Imperial County","California"
"715","Independence County","Arkansas"
"716","Indian River County","Florida"
"717","Indiana County","Pennsylvania"
"718","Ingham County","Michigan"
"719","Inyo County","California"
"720","Iowa County","Iowa"
"721","Iroquois County","Illinois"
"722","Irwin County","Georgia"
"723","Isabella County","Michigan"
"724","Isanti County","Minnesota"
"725","Island County","Washington"
"726","Isle of Wight County","Virginia"
"727","Itasca County","Minnesota"
"728","Itawamba County","Mississippi"
"729","Izard County","Arkansas"
"730","Jack County","Texas"
"731","Jackson County","Alabama"
"732","James City County","Virginia"
"733","Jasper County","Georgia"
"734","Jay County","Indiana"
"735","Jeff Davis County","Georgia"
"736","Jefferson County","Alabama"
"737","Jefferson Davis County","Louisiana"
"738","Jenkins County","Georgia"
"739","Jennings County","Indiana"
"740","Jerome County","Idaho"
"741","Jersey County","Illinois"
"742","Jessamine County","Kentucky"
"743","Jim Hogg County","Texas"
"744","Jim Wells County","Texas"
"745","Jo Daviess County","Illinois"
"746","Johnson County","Arkansas"
"747","Johnston County","North Carolina"
"748","Jones County","Georgia"
"749","Josephine County","Oregon"
"750","Juab County","Utah"
"751","Juneau County","Wisconsin"
"752","Juniata County","Pennsylvania"
"753","Kalamazoo County","Michigan"
"754","Kalkaska County","Michigan"
"755","Kanabec County","Minnesota"
"756","Kanawha County","West Virginia"
"757","Kandiyohi County","Minnesota"
"758","Kane County","Illinois"
"759","Kankakee County","Illinois"
"760","Karnes County","Texas"
"761","Kauai County","Hawaii"
"762","Kaufman County","Texas"
"763","Kay County","Oklahoma"
"764","Kearney County","Nebraska"
"765","Keith County","Nebraska"
"766","Kemper County","Mississippi"
"767","Kenai Peninsula Borough","Alaska"
"768","Kendall County","Illinois"
"769","Kennebec County","Maine"
"770","Kenosha County","Wisconsin"
"771","Kent County","Delaware"
"772","Kenton County","Kentucky"
"773","Keokuk County","Iowa"
"774","Kern County","California"
"775","Kerr County","Texas"
"776","Kershaw County","South Carolina"
"777","Kewaunee County","Wisconsin"
"778","Kimball County","Nebraska"
"779","Kimble County","Texas"
"780","King and Queen County","Virginia"
"781","King County","Washington"
"782","King George County","Virginia"
"783","King William County","Virginia"
"784","Kingfisher County","Oklahoma"
"785","Kingman County","Kansas"
"786","Kings County","California"
"787","Kingsbury County","South Dakota"
"788","Kiowa County","Oklahoma"
"789","Kit Carson County","Colorado"
"790","Kitsap County","Washington"
"791","Kittitas County","Washington"
"792","Klamath County","Oregon"
"793","Kleberg County","Texas"
"794","Klickitat County","Washington"
"795","Knott County","Kentucky"
"796","Knox County","Illinois"
"797","Koochiching County","Minnesota"
"798","Kootenai County","Idaho"
"799","Kosciusko County","Indiana"
"800","Kossuth County","Iowa"
"801","La Crosse County","Wisconsin"
"802","La Paz County","Arizona"
"803","La Plata County","Colorado"
"804","La Salle County","Louisiana"
"805","Labette County","Kansas"
"806","Lac qui Parle County","Minnesota"
"807","Lackawanna County","Pennsylvania"
"808","Laclede County","Missouri"
"809","Lafayette County","Florida"
"810","Lafourche County","Louisiana"
"811","LaGrange County","Indiana"
"812","Lake County","California"
"813","Lake of the Woods County","Minnesota"
"814","Lamar County","Alabama"
"815","Lamb County","Texas"
"816","Lamoille County","Vermont"
"817","Lampasas County","Texas"
"818","Lancaster County","Nebraska"
"819","Lander County","Nevada"
"820","Lane County","Oregon"
"821","Langlade County","Wisconsin"
"822","Lanier County","Georgia"
"823","Lapeer County","Michigan"
"824","LaPorte County","Indiana"
"825","Laramie County","Wyoming"
"826","Larimer County","Colorado"
"827","Larue County","Kentucky"
"828","Las Animas County","Colorado"
"829","LaSalle County","Illinois"
"830","Lassen County","California"
"831","Latah County","Idaho"
"832","Latimer County","Oklahoma"
"833","Lauderdale County","Alabama"
"834","Laurel County","Kentucky"
"835","Laurens County","Georgia"
"836","Lavaca County","Texas"
"837","Lawrence County","Alabama"
"838","Le Flore County","Oklahoma"
"839","Le Sueur County","Minnesota"
"840","Lea County","New Mexico"
"841","Leake County","Mississippi"
"842","Leavenworth County","Kansas"
"843","Lebanon County","Pennsylvania"
"844","Lee County","Alabama"
"845","Leelanau County","Michigan"
"846","Leflore County","Mississippi"
"847","Lehigh County","Pennsylvania"
"848","Lemhi County","Idaho"
"849","Lenawee County","Michigan"
"850","Lenoir County","North Carolina"
"851","Leon County","Florida"
"852","Letcher County","Kentucky"
"853","Levy County","Florida"
"854","Lewis and Clark County","Montana"
"855","Lewis County","Kentucky"
"856","Lexington city","Virginia"
"857","Lexington County","South Carolina"
"858","Liberty County","Florida"
"859","Licking County","Ohio"
"860","Limestone County","Alabama"
"861","Lincoln County","Arkansas"
"862","Linn County","Iowa"
"863","Litchfield County","Connecticut"
"864","Little River County","Arkansas"
"865","Live Oak County","Texas"
"866","Livingston County","Illinois"
"867","Llano County","Texas"
"868","Logan County","Arkansas"
"869","Long County","Georgia"
"870","Lonoke County","Arkansas"
"871","Lorain County","Ohio"
"872","Los Alamos County","New Mexico"
"873","Los Angeles County","California"
"874","Loudon County","Tennessee"
"875","Loudoun County","Virginia"
"876","Louisa County","Iowa"
"877","Love County","Oklahoma"
"878","Loving County","Texas"
"879","Lowndes County","Alabama"
"880","Lubbock County","Texas"
"881","Lucas County","Iowa"
"882","Luce County","Michigan"
"883","Lumpkin County","Georgia"
"884","Luna County","New Mexico"
"885","Lunenburg County","Virginia"
"886","Luzerne County","Pennsylvania"
"887","Lycoming County","Pennsylvania"
"888","Lynchburg city","Virginia"
"889","Lynn County","Texas"
"890","Lyon County","Iowa"
"891","Mackinac County","Michigan"
"892","Macomb County","Michigan"
"893","Macon County","Alabama"
"894","Macoupin County","Illinois"
"895","Madera County","California"
"896","Madison County","Alabama"
"897","Mahaska County","Iowa"
"898","Mahnomen County","Minnesota"
"899","Mahoning County","Ohio"
"900","Major County","Oklahoma"
"901","Malheur County","Oregon"
"902","Manassas city","Virginia"
"903","Manassas Park city","Virginia"
